x,y,z,qw,qx,qy,qz,k11,k12,k13,k21,k22,k23,k31,k32,k33,d11,d12,d13,d21,d22,d23,d31,d32,d33
0.29371594,0.66564322,0.24385639,0.50361386,-0.51816642,0.49185633,0.48575095,839.25668764,-4.63752147,5.09313738,-4.63752147,710.46274002,-4.71283450,5.09313738,-4.71283450,799.88717060,2.30393783,2.18184924,-3.35985518,2.18184924,10.04174534,-3.10260077,-3.35985518,-3.10260077,10.32329393
0.29368402,0.66567374,0.24385907,0.50361510,-0.51817471,0.49184542,0.48575187,839.34078264,-4.63781302,5.09381410,-4.63781302,710.52683159,-4.71941163,5.09381410,-4.71941163,799.95921867,2.30000801,2.18546640,-3.35522355,2.18546640,10.03369873,-3.10312723,-3.35522355,-3.10312723,10.31689109
0.29365213,0.66570421,0.24386175,0.50361633,-0.51818300,0.49183451,0.48575280,839.42488545,-4.63809722,5.09449746,-4.63809722,710.59094245,-4.72597693,5.09449746,-4.72597693,800.03127956,2.29606210,2.18907944,-3.35056073,2.18907944,10.02565439,-3.10367831,-3.35056073,-3.10367831,10.31038773
0.29362027,0.66573463,0.24386443,0.50361756,-0.51819129,0.49182359,0.48575374,839.50899604,-4.63837406,5.09518745,-4.63837406,710.65507261,-4.73253038,5.09518745,-4.73253038,800.10335322,2.29210024,2.19268821,-3.34586690,2.19268821,10.01761300,-3.10425380,-3.34586690,-3.10425380,10.30378426
0.29358844,0.66576499,0.24386711,0.50361879,-0.51819958,0.49181267,0.48575468,839.59311437,-4.63864354,5.09588410,-4.63864354,710.71922205,-4.73907197,5.09588410,-4.73907197,800.17543960,2.28812254,2.19629258,-3.34114227,2.19629258,10.00957521,-3.10485351,-3.34114227,-3.10485351,10.29708113
0.29355663,0.66579530,0.24386979,0.50362001,-0.51820787,0.49180174,0.48575563,839.67724039,-4.63890567,5.09658738,-4.63890567,710.78339080,-4.74560165,5.09658738,-4.74560165,800.24753863,2.28412914,2.19989241,-3.33638703,2.19989241,10.00154170,-3.10547724,-3.33638703,-3.10547724,10.29027878
0.29352484,0.66582556,0.24387246,0.50362123,-0.51821616,0.49179081,0.48575658,839.76137406,-4.63916045,5.09729731,-4.63916045,710.84757884,-4.75211943,5.09729731,-4.75211943,800.31965026,2.28012016,2.20348756,-3.33160137,2.20348756,9.99351312,-3.10612477,-3.33160137,-3.10612477,10.28337763
0.29349309,0.66585576,0.24387513,0.50362246,-0.51822445,0.49177987,0.48575755,839.84551535,-4.63940789,5.09801387,-4.63940789,710.91178618,-4.75862526,5.09801387,-4.75862526,800.39177444,2.27609571,2.20707788,-3.32678550,2.20707788,9.98549013,-3.10679592,-3.32678550,-3.10679592,10.27637812
0.29346136,0.66588591,0.24387780,0.50362367,-0.51823274,0.49176893,0.48575852,839.92966422,-4.63964799,5.09873708,-4.63964799,710.97601281,-4.76511915,5.09873708,-4.76511915,800.46391110,2.27205594,2.21066325,-3.32193962,2.21066325,9.97747340,-3.10749046,-3.32193962,-3.10749046,10.26928071
0.29342965,0.66591600,0.24388047,0.50362489,-0.51824104,0.49175798,0.48575949,840.01382062,-4.63988075,5.09946693,-4.63988075,711.04025874,-4.77160105,5.09946693,-4.77160105,800.53606018,2.26800097,2.21424351,-3.31706392,2.21424351,9.96946360,-3.10820821,-3.31706392,-3.10820821,10.26208584
0.29339797,0.66594604,0.24388314,0.50362611,-0.51824932,0.49174703,0.48576048,840.09798452,-4.64010618,5.10020341,-4.64010618,711.10452397,-4.77807096,5.10020341,-4.77807096,800.60822162,2.26393092,2.21781853,-3.31215861,2.21781853,9.96146138,-3.10894894,-3.31215861,-3.10894894,10.25479396
0.29336632,0.66597602,0.24388580,0.50362732,-0.51825761,0.49173607,0.48576147,840.18215586,-4.64032428,5.10094653,-4.64032428,711.16880848,-4.78452886,5.10094653,-4.78452886,800.68039537,2.25984592,2.22138817,-3.30722389,2.22138817,9.95346740,-3.10971246,-3.30722389,-3.10971246,10.24740551
0.29333470,0.66600596,0.24388846,0.50362853,-0.51826590,0.49172511,0.48576246,840.26633462,-4.64053506,5.10169629,-4.64053506,711.23311229,-4.79097473,5.10169629,-4.79097473,800.75258136,2.25574610,2.22495229,-3.30225995,2.22495229,9.94548232,-3.11049856,-3.30225995,-3.11049856,10.23992095
0.29330310,0.66603583,0.24389113,0.50362974,-0.51827419,0.49171415,0.48576347,840.35052075,-4.64073852,5.10245268,-4.64073852,711.29743539,-4.79740854,5.10245268,-4.79740854,800.82477954,2.25163158,2.22851076,-3.29726700,2.22851076,9.93750681,-3.11130703,-3.29726700,-3.11130703,10.23234075
0.29327153,0.66606565,0.24389379,0.50363094,-0.51828248,0.49170318,0.48576447,840.43471420,-4.64093467,5.10321570,-4.64093467,711.36177778,-4.80383029,5.10321570,-4.80383029,800.89698983,2.24750249,2.23206342,-3.29224525,2.23206342,9.92954153,-3.11213766,-3.29224525,-3.11213766,10.22466536
0.29323999,0.66609542,0.24389644,0.50363215,-0.51829077,0.49169220,0.48576549,840.51891494,-4.64112352,5.10398535,-4.64112352,711.42613944,-4.81023996,5.10398535,-4.81023996,800.96921219,2.24335897,2.23561015,-3.28719489,2.23561015,9.92158713,-3.11299024,-3.28719489,-3.11299024,10.21689523
0.29320847,0.66612513,0.24389910,0.50363335,-0.51829906,0.49168122,0.48576651,840.60312293,-4.64130507,5.10476162,-4.64130507,711.49052039,-4.81663753,5.10476162,-4.81663753,801.04144653,2.23920114,2.23915080,-3.28211612,2.23915080,9.91364426,-3.11386456,-3.28211612,-3.11386456,10.20903085
0.29317698,0.66615479,0.24390176,0.50363455,-0.51830735,0.49167024,0.48576754,840.68733811,-4.64147932,5.10554452,-4.64147932,711.55492061,-4.82302298,5.10554452,-4.82302298,801.11369281,2.23502912,2.24268524,-3.27700916,2.24268524,9.90571360,-3.11476042,-3.27700916,-3.11476042,10.20107267
0.29314551,0.66618440,0.24390441,0.50363575,-0.51831564,0.49165925,0.48576858,840.77156045,-4.64164630,5.10633403,-4.64164630,711.61934010,-4.82939629,5.10633403,-4.82939629,801.18595095,2.23084305,2.24621333,-3.27187421,2.24621333,9.89779579,-3.11567760,-3.27187421,-3.11567760,10.19302116
0.29311407,0.66621395,0.24390706,0.50363694,-0.51832393,0.49164826,0.48576962,840.85578991,-4.64180599,5.10713016,-4.64180599,711.68377885,-4.83575747,5.10713016,-4.83575747,801.25822090,2.22664305,2.24973493,-3.26671146,2.24973493,9.88989149,-3.11661588,-3.26671146,-3.11661588,10.18487680
0.29308266,0.66624344,0.24390971,0.50363814,-0.51833222,0.49163726,0.48577067,840.94002644,-4.64195842,5.10793289,-4.64195842,711.74823687,-4.84210648,5.10793289,-4.84210648,801.33050258,2.22242926,2.25324990,-3.26152114,2.25324990,9.88200135,-3.11757507,-3.26152114,-3.11757507,10.17664006
