x,y,z,dx,dy,dz,k11,k12,k13,k21,k22,k23,k31,k32,k33,d11,d12,d13,d21,d22,d23,d31,d32,d33
0.46460009,0.50618798,0.29791597,-0.11205528,0.06580209,0.00007537,151.69279506,-36.99732661,-37.95380863,-36.99732661,187.80087863,69.55509238,-37.95380863,69.55509238,156.48409500,7.62412810,-0.71236396,-0.18760151,-0.71236396,0.22161959,0.61618220,-0.18760151,0.61618220,29.72448812
0.46348022,0.50684170,0.29791674,-0.11191472,0.06494268,0.00007735,151.49611480,-37.32832930,-37.56147372,-37.32832930,187.33873754,69.78675802,-37.56147372,69.78675802,155.95434509,7.71466699,-0.69621214,-0.19520033,-0.69621214,0.20706612,0.57932162,-0.19520033,0.57932162,30.07997593
0.46236179,0.50748683,0.29791752,-0.11176598,0.06408413,0.00007890,151.29640048,-37.66019910,-37.16951932,-37.66019910,186.87680338,70.01756950,-37.16951932,70.01756950,155.43498468,7.80156739,-0.67929978,-0.20268649,-0.67929978,0.19325052,0.54281847,-0.20268649,0.54281847,30.42198282
0.46124490,0.50812338,0.29791831,-0.11160940,0.06322697,0.00008005,151.09373737,-37.99285834,-36.77815335,-37.99285834,186.41501689,70.24742386,-36.77815335,70.24742386,154.92628643,7.88476818,-0.66163437,-0.21004918,-0.66163437,0.18015781,0.50674681,-0.21004918,0.50674681,30.75057082
0.46012960,0.50875137,0.29791912,-0.11144534,0.06237169,0.00008085,150.88821129,-38.32622966,-36.38758285,-38.32622966,185.95331871,70.47622163,-36.38758285,70.47622163,154.42850966,7.96421252,-0.64322385,-0.21727761,-0.64322385,0.16777377,0.47117823,-0.21727761,0.47117823,31.06583247
0.45901599,0.50937082,0.29791993,-0.11127415,0.06151883,0.00008134,150.67990857,-38.66023595,-35.99801383,-38.66023595,185.49164934,70.70386694,-35.99801383,70.70386694,153.94189994,8.03984772,-0.62407660,-0.22436104,-0.62407660,0.15608500,0.43618185,-0.22436104,0.43618185,31.36788980
0.45790412,0.50998175,0.29792075,-0.11109618,0.06066891,0.00008157,150.46891594,-38.99480049,-35.60965104,-38.99480049,185.02994919,70.93026768,-35.60965104,70.93026768,153.46668879,8.11162525,-0.60420143,-0.23128876,-0.60420143,0.14507888,0.40182438,-0.23128876,0.40182438,31.65689326
0.45679407,0.51058420,0.29792156,-0.11091181,0.05982246,0.00008158,150.25532051,-39.32984691,-35.22269776,-39.32984691,184.56815857,71.15533559,-35.22269776,71.15533559,153.00309329,8.17950061,-0.58360760,-0.23805010,-0.58360760,0.13474365,0.36817017,-0.23805010,0.36817017,31.93302060
0.45568589,0.51117820,0.29792238,-0.11072138,0.05898001,0.00008145,150.03920963,-39.66529933,-34.83735563,-39.66529933,184.10621766,71.37898641,-34.83735563,71.37898641,152.55131583,8.24343329,-0.56230482,-0.24463445,-0.56230482,0.12506836,0.33528122,-0.24463445,0.33528122,32.19647561
0.45457964,0.51176380,0.29792319,-0.11052525,0.05814208,0.00008121,149.82067084,-40.00108229,-34.45382440,-40.00108229,183.64406660,71.60113997,-34.45382440,71.60113997,152.11154376,8.30338672,-0.54030323,-0.25103125,-0.54030323,0.11604292,0.30321724,-0.25103125,0.30321724,32.44748698
0.45347538,0.51234104,0.29792400,-0.11032377,0.05730918,0.00008094,149.59979184,-40.33712092,-34.07230180,-40.33712092,183.18164544,71.82172029,-34.07230180,71.82172029,151.68394918,8.35932814,-0.51761344,-0.25722997,-0.51761344,0.10765806,0.27203572,-0.25722997,0.27203572,32.68630693
0.45237316,0.51290998,0.29792481,-0.11011728,0.05648183,0.00008070,149.37666035,-40.67334085,-33.69298332,-40.67334085,182.71889417,72.04065565,-33.69298332,72.04065565,151.26868872,8.41122857,-0.49424650,-0.26322018,-0.49424650,0.09990542,0.24179192,-0.26322018,0.24179192,32.91320992
0.45127304,0.51347068,0.29792562,-0.10990610,0.05566050,0.00008054,149.15136410,-41.00966837,-33.31606201,-41.00966837,182.25575275,72.25787873,-33.31606201,72.25787873,150.86590328,8.45906272,-0.47021392,-0.26899149,-0.47021392,0.09277747,0.21253901,-0.26899149,0.21253901,33.12849128
0.45017504,0.51402319,0.29792642,-0.10969054,0.05484569,0.00008055,148.92399071,-41.34603036,-32.94172833,-41.34603036,181.79216113,72.47332665,-32.94172833,72.47332665,150.47571792,8.50280891,-0.44552765,-0.27453359,-0.44552765,0.08626759,0.18432806,-0.27453359,0.18432806,33.33246579
0.44907922,0.51456759,0.29792723,-0.10947091,0.05403784,0.00008079,148.69462768,-41.68235442,-32.57016996,-41.68235442,181.32805925,72.68694105,-32.57016996,72.68694105,150.09824166,8.54244900,-0.42020013,-0.27983623,-0.42020013,0.08037001,0.15720810,-0.27983623,0.15720810,33.52546627
