x,y,z,dx,dy,dz,k11,k12,k13,k21,k22,k23,k31,k32,k33,d11,d12,d13,d21,d22,d23,d31,d32,d33
0.52302999,0.47839505,0.29756197,-0.15549205,0.19162793,0.01508357,225.42626629,-8.19027619,0.33394427,-8.19027619,169.08745760,34.88029862,0.33394427,34.88029862,88.87568457,0.30823939,0.63196125,0.85330215,0.63196125,32.77714806,9.28048659,0.85330215,9.28048659,111.88419409
0.52287443,0.47858658,0.29757706,-0.15562624,0.19144297,0.01508441,225.44811291,-8.18842386,0.33365097,-8.18842386,169.07084818,34.87868155,0.33365097,34.87868155,88.87508027,0.31309335,0.64068384,0.86064613,0.64068384,32.88041186,9.30871907,0.86064613,9.30871907,111.84209030
0.52271873,0.47877793,0.29759214,-0.15576011,0.19125833,0.01508495,225.46994881,-8.18654093,0.33335874,-8.18654093,169.05430989,34.87704647,0.33335874,34.87704647,88.87454470,0.31801844,0.64946746,0.86802109,0.64946746,32.98354672,9.33683177,0.86802109,9.33683177,111.79927184
0.52256291,0.47896910,0.29760723,-0.15589365,0.19107399,0.01508518,225.49177384,-8.18462738,0.33306762,-8.18462738,169.03784265,34.87539362,0.33306762,34.87539362,88.87407746,0.32301539,0.65831181,0.87542702,0.65831181,33.08655029,9.36482503,0.87542702,9.36482503,111.75573905
0.52240695,0.47916008,0.29762231,-0.15602688,0.19088996,0.01508511,225.51358784,-8.18268324,0.33277768,-8.18268324,169.02144637,34.87372327,0.33277768,34.87372327,88.87367812,0.32808492,0.66721663,0.88286391,0.66721663,33.18942022,9.39269917,0.88286391,9.39269917,111.71149230
0.52225085,0.47935088,0.29763740,-0.15615981,0.19070626,0.01508474,225.53539068,-8.18070850,0.33248896,-8.18070850,169.00512098,34.87203565,0.33248896,34.87203565,88.87334627,0.33322777,0.67618162,0.89033175,0.67618162,33.29215417,9.42045452,0.89033175,9.42045452,111.66653194
0.52209463,0.47954149,0.29765248,-0.15629243,0.19052287,0.01508406,225.55718218,-8.17870318,0.33220152,-8.17870318,168.98886638,34.87033102,0.33220152,34.87033102,88.87308149,0.33844467,0.68520650,0.89783052,0.68520650,33.39474978,9.44809139,0.89783052,9.44809139,111.62085831
0.52193827,0.47973193,0.29766757,-0.15642475,0.19033982,0.01508307,225.57896222,-8.17666727,0.33191541,-8.17666727,168.97268250,34.86860962,0.33191541,34.86860962,88.87288337,0.34373634,0.69429101,0.90536020,0.69429101,33.49720473,9.47561012,0.90536020,9.47561012,111.57447178
0.52178178,0.47992217,0.29768265,-0.15655678,0.19015709,0.01508177,225.60073064,-8.17460080,0.33163068,-8.17460080,168.95656924,34.86687169,0.33163068,34.86687169,88.87275149,0.34910351,0.70343484,0.91292079,0.70343484,33.59951664,9.50301102,0.91292079,9.50301102,111.52737268
0.52162516,0.48011224,0.29769773,-0.15668853,0.18997470,0.01508016,225.62248728,-8.17250375,0.33134739,-8.17250375,168.94052654,34.86511750,0.33134739,34.86511750,88.87268543,0.35454692,0.71263773,0.92051227,0.71263773,33.70168318,9.53029443,0.92051227,9.53029443,111.47956138
0.52146840,0.48030212,0.29771281,-0.15682001,0.18979265,0.01507823,225.64423201,-8.17037614,0.33106559,-8.17037614,168.92455430,34.86334729,0.33106559,34.86334729,88.87268478,0.36006729,0.72189939,0.92813463,0.72189939,33.80370201,9.55746067,0.92813463,9.55746067,111.43103822
0.52131152,0.48049183,0.29772789,-0.15695121,0.18961094,0.01507600,225.66596467,-8.16821798,0.33078532,-8.16821798,168.90865244,34.86156130,0.33078532,34.86156130,88.87274913,0.36566536,0.73121952,0.93578786,0.73121952,33.90557081,9.58451005,0.93578786,9.58451005,111.38180359
0.52115450,0.48068135,0.29774296,-0.15708214,0.18942957,0.01507344,225.68768510,-8.16602926,0.33050665,-8.16602926,168.89282087,34.85975977,0.33050665,34.85975977,88.87287807,0.37134188,0.74059779,0.94347194,0.74059779,34.00728742,9.61144290,0.94347194,9.61144290,111.33185798
0.52099735,0.48087068,0.29775803,-0.15721282,0.18924856,0.01507057,225.70939316,-8.16381001,0.33022962,-8.16381001,168.87705951,34.85794294,0.33022962,34.85794294,88.87307120,0.37709760,0.75003383,0.95118686,0.75003383,34.10884973,9.63825953,0.95118686,9.63825953,111.28120191
0.52084007,0.48105984,0.29777310,-0.15734324,0.18906790,0.01506738,225.73108870,-8.16156021,0.32995428,-8.16156021,168.86136828,34.85611103,0.32995428,34.85611103,88.87332815,0.38293330,0.75952729,0.95893261,0.75952729,34.21025563,9.66496025,0.95893261,9.66496025,111.22983590
0.52068266,0.48124882,0.29778817,-0.15747342,0.18888761,0.01506387,225.75277155,-8.15927987,0.32968069,-8.15927987,168.84574709,34.85426429,0.32968069,34.85426429,88.87364850,0.38884972,0.76907783,0.96670918,0.76907783,34.31150299,9.69154537,0.96670918,9.69154537,111.17776049
